Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2/27/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
East Asia & Pacific,EAS,Merchandise imports from low- and middle-income economies in Sub-Saharan Africa (% of total merchandise imports),TM.VAL.MRCH.R6.ZS,1.589339545,1.893342831,1.859861771,1.920438718,2.259368972,2.283279131,2.370115767,2.982888467,3.228103335,3.322737661,3.133869131,2.652884684,2.766097363,2.631294844,2.330644532,2.123260517,1.808493624,1.790129791,1.641791847,1.742583576,1.581463442,1.439906921,1.382038106,1.244494504,1.187616453,1.296802184,1.372644723,1.226685148,0.991598997,0.977587999,0.81618377,0.826234623,0.823040423,0.821459204,0.763363122,0.837949041,0.907455376,1.132348823,0.909909382,1.032194325,1.141928261,1.020230761,1.172909518,1.214073184,1.498980348,1.553726061,1.74052299,1.78387379,2.076713467,1.766369313,1.974040247,2.463435949,2.77234816,2.823344728,2.867002509,1.8237959,1.823811114,1.988586423,2.17380579,
East Asia & Pacific,EAS,Merchandise imports from low- and middle-income economies in South Asia (% of total merchandise imports),TM.VAL.MRCH.R5.ZS,3.230087463,2.827163158,2.679058699,3.016238227,2.638664457,2.41940109,2.17006967,2.213091601,2.318482721,2.075978586,1.930573872,1.867428469,1.916655593,1.842785984,1.248377388,1.254882376,1.44478,1.241856993,1.211809652,1.111457478,0.924162402,0.960712982,1.062533612,1.169052366,0.963011217,0.9927066,1.001487268,1.041584594,1.039683849,1.07069876,1.020661124,1.147603475,0.996010044,1.052237656,1.033308796,1.012945015,1.14884934,1.089584777,1.041609894,1.00607482,1.037600732,1.097294327,1.109601244,1.122528034,1.283171273,1.332788223,1.370844376,1.533357073,1.735474217,1.565611348,1.70241425,1.754240342,1.600122676,1.501244894,1.462175747,1.456479895,1.477990498,1.615319804,1.536033045,
East Asia & Pacific,EAS,Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),TM.VAL.MRCH.R4.ZS,1.680751409,1.800982784,1.922561743,2.130819855,2.407320336,2.7759061,3.167646378,3.06457372,3.189877465,3.430624806,3.407554346,4.037291037,3.819986756,3.185356131,5.614486184,6.205701733,5.226510496,4.865020904,3.989432562,3.590114601,3.770925671,1.596006632,1.90437086,2.198798453,1.408754035,1.742767383,1.334071137,1.013474476,0.866708903,0.988890539,1.150497544,0.891306782,0.811842619,0.851388592,0.768369231,0.70312098,0.8113153,0.937894774,0.802775917,1.031770339,1.311278395,1.205288966,1.038016212,1.216631712,1.276642571,1.421526561,1.610372862,1.638406356,1.982735422,1.659199326,1.764491933,1.979144299,1.885404354,1.77634096,1.705929721,1.168720484,1.081627123,1.295488017,1.51241399,
East Asia & Pacific,EAS,Merchandise imports from low- and middle-income economies in Latin America & the Caribbean (% of total merchandise imports),TM.VAL.MRCH.R3.ZS,2.856318348,3.660844145,3.518780353,3.525406557,3.74606389,3.500295213,3.347708123,2.992024676,2.888952279,3.25750827,3.284708407,2.876050246,2.878556549,2.469136121,2.189220026,2.253537766,1.933064933,2.285812014,2.105784139,2.271238508,2.192894332,2.615929109,2.664438244,2.938667962,2.808185325,2.81634518,2.574620107,2.156869762,2.409603184,2.310018687,2.046371779,1.928657381,1.598414551,1.422088324,1.451770455,1.494054437,1.48109729,1.50854687,1.386280286,1.333496968,1.307672706,1.465617449,1.48201189,1.69647716,1.818749104,1.83562422,1.980322961,2.314487617,2.716152651,2.839918239,3.002598676,3.266228748,3.309996639,3.324134326,3.291086557,3.059737206,3.083471564,3.253198558,3.374130597,
East Asia & Pacific,EAS,Merchandise imports from low- and middle-income economies in Europe & Central Asia (% of total merchandise imports),TM.VAL.MRCH.R2.ZS,0.048384351,0.090605893,0.076760941,0.107045805,0.16239898,0.187088672,0.22440614,0.322323782,0.193614295,0.143650685,0.136394454,0.122073884,0.114104306,0.137564813,0.159545044,0.203460446,0.181893115,0.145942354,0.365935808,0.415561559,0.275419497,0.290723803,0.253746343,0.314054881,0.299283403,0.332879095,0.338719174,0.311766694,0.354692442,0.30611808,0.196502766,0.217352953,1.055167141,1.535004348,1.431832495,1.423820722,1.367935998,1.283737551,1.100690671,1.251930954,1.300945581,1.486306319,1.545804608,1.60380954,1.667925711,1.695933175,1.569796184,1.825616358,2.06000135,2.081994101,2.329479533,2.59259233,2.688912953,2.771046886,2.840171148,2.420646554,2.123544019,2.364451718,2.72851191,
East Asia & Pacific,EAS,Merchandise imports from low- and middle-income economies in East Asia & Pacific (% of total merchandise imports),TM.VAL.MRCH.R1.ZS,8.785302216,7.758472757,8.901519764,9.152164285,9.845758637,10.47534248,11.93314976,10.71386064,11.27886983,11.62866217,10.73702601,10.98173727,11.56838105,13.01912364,12.32124559,11.64552277,12.084419,12.50886193,11.81028329,13.24784618,13.9189142,13.53140442,14.13448705,13.6104595,14.52950432,14.43562009,13.65967976,14.75898879,14.75819459,14.94148471,15.32846124,17.31317214,18.20658137,18.95098233,19.56574335,19.67023512,20.24187364,21.49360678,23.15469534,23.77564776,24.26644386,24.96987414,25.7685334,26.08148213,25.88132625,26.2854018,26.47478183,26.72889814,25.61255595,26.59819209,26.3472807,25.4921102,25.6792729,25.69651899,26.43864541,29.24620829,29.83455926,29.09621361,28.77155453,
East Asia & Pacific,EAS,Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),TM.VAL.MRCH.OR.ZS,16.70236453,16.09955361,17.18775728,18.19382772,19.13576403,19.67044601,22.1525274,20.69786808,21.68993663,22.64334163,21.61607632,21.64532438,22.14320567,22.41707671,23.02556793,22.65216838,21.64383176,21.70817861,19.9276747,21.19027083,21.42525058,19.1399478,19.89315204,20.03902366,19.72986198,20.12018834,18.90267771,18.97123084,18.90085154,19.04822407,19.00194386,20.59416542,21.64108173,22.73563324,22.87819132,22.63292872,23.51588731,24.71870018,25.2562325,26.0471799,26.64406234,27.17180027,27.28530552,27.54848267,27.67013589,27.99352259,28.35983378,28.87811404,29.35193653,29.03368374,29.18721287,29.44431912,29.57047696,29.25257757,29.54011907,28.97071003,28.4859785,28.52471355,28.8546535,
East Asia & Pacific,EAS,Merchandise imports from high-income economies (% of total merchandise imports),TM.VAL.MRCH.HI.ZS,77.77698097,77.67411318,76.94674339,76.02965125,74.80153514,74.62468788,73.04330228,73.49941118,73.0259299,72.66212129,74.17449465,74.39490339,73.69480062,73.28662154,73.21713467,73.81262888,75.25798862,75.15786353,76.25318449,75.14673039,75.17591064,77.40483682,76.46646818,76.30718714,76.41401134,75.13952567,76.09129619,76.10164782,75.85472749,75.68086171,75.71725782,75.39138665,74.74934919,73.69291042,73.46903651,72.99093192,72.31236742,71.75860749,70.86644265,69.87720444,68.73014068,67.75519315,66.4324485,65.34737399,64.57806267,63.42806921,62.46204617,61.29680489,61.16833295,60.33829855,59.51058257,59.36851429,58.68600169,58.52388346,58.05482919,57.15718177,56.93255685,56.99260016,57.06642242,
East Asia & Pacific,EAS,Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,17175558616,17971636599,17242988736,19310174801,21778922328,23735402226,25977705320,29147927378,32229584502,36257276145,43236796771,46562007462,54114180898,83914268242,1.32376E+11,1.27471E+11,1.42586E+11,1.60183E+11,1.91349E+11,2.53927E+11,3.25523E+11,3.50301E+11,3.34705E+11,3.30915E+11,3.61946E+11,3.60567E+11,3.67052E+11,4.48248E+11,5.74448E+11,6.54022E+11,7.22572E+11,7.93689E+11,8.58751E+11,9.43653E+11,1.10073E+12,1.3435E+12,1.40956E+12,1.42669E+12,1.18025E+12,1.29142E+12,1.59735E+12,1.47973E+12,1.57285E+12,1.87021E+12,2.34575E+12,2.69295E+12,3.09284E+12,3.5201E+12,4.16569E+12,3.34806E+12,4.4212E+12,5.38494E+12,5.61337E+12,5.76139E+12,5.73083E+12,4.93568E+12,4.73261E+12,5.40138E+12,6.08328E+12,
East Asia & Pacific,EAS,Merchandise imports from economies in the Arab World (% of total merchandise imports),TM.VAL.MRCH.AL.ZS,4.902458011,4.82888223,4.921882742,5.544488741,5.644303219,5.876452336,5.50514197,5.442460742,5.787484818,5.368933492,4.977480496,5.748814298,6.140013342,5.836015052,13.55052351,14.54552633,15.98494035,16.50166494,13.81947331,15.28609915,19.7281492,19.15560097,17.20162146,14.97224917,13.45249249,11.12194977,7.25963289,7.06084775,5.615369936,5.813790426,6.73866908,6.080599184,5.873020462,5.172457136,4.650350589,4.582615201,5.07902558,5.588124888,4.600127305,5.143900616,7.00995728,6.755198787,6.008681234,6.339413591,6.581251294,8.062492231,8.908665343,8.322681391,10.56866143,7.908863635,8.188258822,9.630832646,10.25973165,10.03693427,9.505934881,6.518598001,5.292892272,5.852623604,7.175099331,
